,CO2 per cápita (toneladas métricas),intervalos,frecuencias
411,1.694755259,"(-0.00042, 19.969]",8744.0
412,1.868611029,"(-0.00042, 19.969]",8744.0
413,1.469960972,"(-0.00042, 19.969]",8744.0
414,1.422998378,"(-0.00042, 19.969]",8744.0
415,1.671656923,"(-0.00042, 19.969]",8744.0
468,0.67061685,"(-0.00042, 19.969]",8744.0
469,0.86044077,"(-0.00042, 19.969]",8744.0
470,1.823373764,"(-0.00042, 19.969]",8744.0
471,1.47017501,"(-0.00042, 19.969]",8744.0
472,1.567094017,"(-0.00042, 19.969]",8744.0
473,2.520359412,"(-0.00042, 19.969]",8744.0
474,5.727991713,"(-0.00042, 19.969]",8744.0
475,9.10806103,"(-0.00042, 19.969]",8744.0
476,15.671932379,"(-0.00042, 19.969]",8744.0
477,19.559006018,"(-0.00042, 19.969]",8744.0
478,7.068212761,"(-0.00042, 19.969]",8744.0
479,6.412192107,"(-0.00042, 19.969]",8744.0
480,5.565568038,"(-0.00042, 19.969]",8744.0
481,4.855381628,"(-0.00042, 19.969]",8744.0
482,6.249202534,"(-0.00042, 19.969]",8744.0
483,10.219499516,"(-0.00042, 19.969]",8744.0
484,5.780430484,"(-0.00042, 19.969]",8744.0
485,6.631858508,"(-0.00042, 19.969]",8744.0
486,6.969109888,"(-0.00042, 19.969]",8744.0
487,5.769237311,"(-0.00042, 19.969]",8744.0
488,2.034295387,"(-0.00042, 19.969]",8744.0
489,1.524630824,"(-0.00042, 19.969]",8744.0
490,4.254677302,"(-0.00042, 19.969]",8744.0
491,1.24107537,"(-0.00042, 19.969]",8744.0
492,2.193739437,"(-0.00042, 19.969]",8744.0
493,3.792832806,"(-0.00042, 19.969]",8744.0
494,3.859701262,"(-0.00042, 19.969]",8744.0
495,4.332193939,"(-0.00042, 19.969]",8744.0
496,4.57363523,"(-0.00042, 19.969]",8744.0
497,4.615779366,"(-0.00042, 19.969]",8744.0
498,4.85726747,"(-0.00042, 19.969]",8744.0
499,4.641623406,"(-0.00042, 19.969]",8744.0
500,4.566841126,"(-0.00042, 19.969]",8744.0
501,4.692005303,"(-0.00042, 19.969]",8744.0
502,4.683621337,"(-0.00042, 19.969]",8744.0
503,4.721298044,"(-0.00042, 19.969]",8744.0
504,4.593864332,"(-0.00042, 19.969]",8744.0
505,4.670561524,"(-0.00042, 19.969]",8744.0
506,4.49690052,"(-0.00042, 19.969]",8744.0
507,4.581278521,"(-0.00042, 19.969]",8744.0
508,4.439238615,"(-0.00042, 19.969]",8744.0
509,4.364812845,"(-0.00042, 19.969]",8744.0
510,4.536211421,"(-0.00042, 19.969]",8744.0
511,4.804484327,"(-0.00042, 19.969]",8744.0
512,4.980995619,"(-0.00042, 19.969]",8744.0
513,4.974311149,"(-0.00042, 19.969]",8744.0
514,5.096289552,"(-0.00042, 19.969]",8744.0
515,5.561524699,"(-0.00042, 19.969]",8744.0
516,5.628318688,"(-0.00042, 19.969]",8744.0
517,5.906292005,"(-0.00042, 19.969]",8744.0
